,Facility Name,Site Address,Facility Type,Last Inspection Date,url,category
1,Fruitista,71 Marlborough St S  Blenheim N0P 1A0,Mobile Food Premises,,location.href = '/Facility/Details/94cdd655-767c-4e0c-b394-4b92923248c1' ,Food Premisis
2,Fuel 4 You+,3-100 William St S  Chatham ON N7M 4S3,Food Take Out,15-Mar-2024,location.href = '/Facility/Details/ed8519f9-3cbc-4387-9d14-0da7ed32d2e7' ,Food Premisis
3,Galaxy Cinemas Chatham,760 St Clair Street  Chatham ON N7M 5J7,Restaurant,04-Jan-2024,location.href = '/Facility/Details/ad53c8ff-c693-4445-830e-f14fc950e698' ,Food Premisis
4,Gentry Manor,9 Park St.  Chatham ON N7M 3R1,Restaurant,23-Jun-2023,location.href = '/Facility/Details/ad6d2be9-ab38-4a55-a2d7-4428dbdbabee' ,Food Premisis
5,George P. Vanier Catholic School,20 Cecile Ave  Chatham ON N7M 2C3,School Nourishment Program,21-May-2019,location.href = '/Facility/Details/6a9b9e31-de45-49b9-8c68-984966b4845e' ,Food Premisis
6,Gerry's Pizza,1148 Dufferin Ave  Wallaceburg ON N8A 2W1,Food Take Out,08-Dec-2023,location.href = '/Facility/Details/ceee77cf-69ee-4100-b590-8f0ee729dab6' ,Food Premisis
7,Giant Tiger,595 Grand Ave W  Chatham ON N7L 1C5,Supermarket,14-Feb-2024,location.href = '/Facility/Details/0afed7b4-027f-480a-87c8-91ebe6e174e2' ,Food Premisis
8,Giant Tiger,228 Chatham Street S  Blenheim ON N0P 1A0,Supermarket,04-Jul-2023,location.href = '/Facility/Details/fa345a94-5498-4e0d-a5d0-7729eca1e0f0' ,Food Premisis
9,Glad Tidings Community Church,403 Chatham Street S  Blenheim ON,Banquet Facility/Public Hall,12-Mar-2024,location.href = '/Facility/Details/cc5d5cec-b738-4975-beb2-2aa5b5e32da9' ,Food Premisis
10,Glasses and Grapes,169 Nelson Street  Wallaceburg ON N8A 4G2,Brew Your Own Beer/Wine,22-Aug-2023,location.href = '/Facility/Details/75c02b35-ab33-468f-ae76-1164caeae151' ,Food Premisis
11,Glasshouse Nursery & Garden Centre - Fudge,56 Creek Road  Chatham ON N7M 5J3,Bakery,27-Nov-2023,location.href = '/Facility/Details/2809a38a-78e3-48ed-bca0-2ef050a9eb1a' ,Food Premisis
12,Glasstown Brewing,331 James Street  Wallaceburg Ontario N8A 2N5,Restaurant,29-Feb-2024,location.href = '/Facility/Details/b6c0ae86-a921-4acd-9b70-21d1cf3108a2' ,Food Premisis
13,GNC- General Nutrition Centres,867 St. Clair St  Chatham ON N7M 5J7,Prepackaged/Non-Hazardous Food Sales,12-Feb-2024,location.href = '/Facility/Details/4184bc51-3ffb-4d1e-a408-1764d40cc154' ,Food Premisis
14,Godfather Pizza & Subs,474 St George Street S  Dresden ON N0P 1M0,Restaurant,14-Nov-2023,location.href = '/Facility/Details/11d32c39-d4c5-4ce0-a66c-215a3687d659' ,Food Premisis
15,Godfather Pizza & Subs,470 St. Clair St  Chatham ON N7L 3K8,Food Take Out,25-Mar-2024,location.href = '/Facility/Details/0f2d57a4-892e-4011-a9a9-f5dbfdbb79b5' ,Food Premisis
16,Godfathers Pizza,11 Main St E  Ridgetown ON N0P 2C0,Restaurant,17-Jan-2024,location.href = '/Facility/Details/a4e0643d-8704-415f-a918-4f7d8bafed85' ,Food Premisis
17,Golden Acres Curling Club,430 Catherine St  Blenheim ON N0P 1A0,Restaurant,13-Feb-2024,location.href = '/Facility/Details/5a5db501-e8c8-453c-9694-2ed47e7b2425' ,Food Premisis
18,Golden Acres Peach Company,18895 Fargo Road  Blenheim ON N0P 1A0,Cannery,20-Sep-2022,location.href = '/Facility/Details/38ebdbdd-0e9b-409b-b804-fa9667937c20' ,Food Premisis
19,Golden Crown Restaurant,B-421 St. Clair St  Chatham ON N7L 3K4,Restaurant,17-Apr-2024,location.href = '/Facility/Details/37d40970-1d12-4699-a60e-1db5355753b8' ,Food Premisis
20,Good Days Cafe,5 Erie St S  Ridgetown ON N0P 2C0,Restaurant,31-Jan-2024,location.href = '/Facility/Details/73a9bc52-2287-43ba-ace4-75cf4f1fa62b' ,Food Premisis
21,Good Shepherd Catholic School,4 Edith St  Thamesville ON N0P 2K0,School Nourishment Program,03-May-2019,location.href = '/Facility/Details/c8a360c1-f38a-4483-ac3b-0f77e309e203' ,Food Premisis
22,Grace Christian Reformed Church,255 Tweedsmuir Ave W  Chatham ON,Hunger Relief Agency/Soup Kitchen/Meal Centre/Food Kitchen,02-Nov-2023,location.href = '/Facility/Details/f27e2361-b1d1-45ce-a434-4fcb2869f1ee' ,Food Premisis
23,Grand Mini-Mart,895 Grand Avenue W  Chatham ON N7L 1C8,Food Store/Food Sales (Convenience/Variety),02-Apr-2024,location.href = '/Facility/Details/e16a1d86-7662-43ff-8f8d-a91f4340221d' ,Food Premisis
24,Grand Retirement Village,64 Ursuline Ave  Chatham ON N7L 0A8,LTC Retirement Home - Food,30-Nov-2023,location.href = '/Facility/Details/f1620cc0-2960-4c8a-b778-4e338c16db34' ,Food Premisis
0,GraveDiggerz' Restaurant,288 King St S  Highgate ON N0P 1T0,Restaurant,19-Mar-2024,location.href = '/Facility/Details/cc832dd1-8ac6-4256-b062-e9f0f3bd4395' ,Food Premisis
1,Greatview Orchards Farm Market,8677 Talbot Trail  Blenheim ON N0P 1A0,Food Store/Food Sales (Convenience/Variety),17-Oct-2023,location.href = '/Facility/Details/6d356953-397d-4ec2-aa4b-57dc6302b7bd' ,Food Premisis
2,Greek Grill,155 Grand Avenue West  Chatham ON N7L 1B9,Restaurant,30-Nov-2023,location.href = '/Facility/Details/9bfb2354-6745-4070-bd4f-8fcea9e83cfd' ,Food Premisis
3,Greenview Aviaries Duffy's Bar and Grill,12752 Talbot Trail  Morpeth ON N0P 1X0,Restaurant,03-Aug-2023,location.href = '/Facility/Details/bbfd698b-888a-483b-a895-31059416c34a' ,Food Premisis
4,Gregory Drive Alliance Church,255 Gregory Dr W  Chatham Ontario N7M 5J7,Hunger Relief Agency/Soup Kitchen/Meal Centre/Food Kitchen,05-Jan-2024,location.href = '/Facility/Details/49aeed0c-dd87-4e23-9121-2da065f66ed4' ,Food Premisis
5,Gregory Drive Public School,180 Gregory Drive W  Chatham ON N7L 2L4,School Nourishment Program,14-Oct-2022,location.href = '/Facility/Details/42e8ec7a-231d-4561-80de-256267a98430' ,Food Premisis
6,Growing Together at Maycourt - Food,275 McNaughton Avenue W  Chatham ON N7L 1R8,Child Care - Food,12-Mar-2024,location.href = '/Facility/Details/112e24df-6fc5-425d-a857-6813b48a8275' ,Food Premisis
7,Growing Together Family Resource Centre - St Annes - Food,183 Snow Avenue  Blenheim ON N0P 1A0,Child Care - Food,20-Mar-2024,location.href = '/Facility/Details/b3b38bdb-ea85-4ace-9540-aa4a813d0c3f' ,Food Premisis
8,Growing Together Family Resource Centre - W. J. Baird - Food,182 King Street W  Blenheim ON N0P 1A0,Child Care - Food,20-Mar-2024,location.href = '/Facility/Details/e7a72080-93b8-421a-8d42-f26d03c45a5b' ,Food Premisis
9,Guac Mexi Grill,F4-818 St  Clair Street Chatham Ontario N7M 5J7,Restaurant,12-Jan-2024,location.href = '/Facility/Details/c9844c4f-6959-410f-88dc-4567a0837fc5' ,Food Premisis
10,Gyros and More,5-180 McNaughton Ave. W  Chatham ON N7L4Z7,Restaurant,11-Oct-2023,location.href = '/Facility/Details/61e16b3a-72ab-49ff-83a9-7998d158c6a9' ,Food Premisis
11,H.W. Burgess Public School,140 Lawrence Avenue  Wallaceburg ON N8A 2B3,School Nourishment Program,01-Mar-2019,location.href = '/Facility/Details/e115457e-eceb-4282-be53-a09f94329717' ,Food Premisis
12,Hangry’s,73 Golfcourse Line  Ridgetown ON N0P 2C0,Mobile Food Premises,20-Jun-2023,location.href = '/Facility/Details/bba22c85-5361-4b28-b583-4021ce2be41d' ,Food Premisis
13,Harvest Tables Restaurant,11 Main St W  Ridgetown ON N0P 2C0,Restaurant,15-Feb-2024,location.href = '/Facility/Details/d793c97f-5781-4f34-b4b1-532ba7c8553e' ,Food Premisis
14,Harvey Variety and Pizza,42 Harvey Street  Chatham ON N7M 1L8,Food Take Out,03-Aug-2023,location.href = '/Facility/Details/7b41ba89-0c00-489d-9c12-0341de802c6c' ,Food Premisis
15,Harvey's Restaurant,60 McNaughton Avenue  Wallaceburg ON N8A 1R9,Restaurant,21-Sep-2023,location.href = '/Facility/Details/75695d49-4758-4f09-b47f-034860a703ee' ,Food Premisis
16,Harvey's Restaurants,25 St. Clair St  Chatham ON N7L 3H6,Restaurant,17-Nov-2023,location.href = '/Facility/Details/7f814f90-45e2-4a80-a041-7ec7af193846' ,Food Premisis
17,Harwich-Raleigh Public School,231 Chatham St S  Blenheim ON N0P 1A0,School Nourishment Program,25-Apr-2019,location.href = '/Facility/Details/4d2ea4fa-0ac8-4b73-8fe8-04d4dcf9e259' ,Food Premisis
18,"Hasty Market, Shawarma & More",1-595 St. Clair St.  Chatham Ontario N7L 3L3,Food Take Out,22-Mar-2024,location.href = '/Facility/Details/eb9c0b01-8c24-4f1b-b012-2c3f6761d7be' ,Food Premisis
19,"Hawg Wagon, The",117 Sydenham Street  Dresden ON N0P 1M0,Mobile Food Premises,13-Jul-2023,location.href = '/Facility/Details/f5530858-8c2a-45dd-903d-ece12d0c1b26' ,Food Premisis
20,"Healthy Habit, The",451 St. Clair St  Chatham ON N7L 3K6,Food Store/Food Sales (Convenience/Variety),08-Mar-2024,location.href = '/Facility/Details/d779720d-c87d-410d-9b89-a000c1e90de8' ,Food Premisis
21,Heidi's Eats & Sweets,913 Concession Rd 3  Wheatley ON N0P 2P0,Restaurant,21-Dec-2023,location.href = '/Facility/Details/65e5de35-7a2c-4149-9d67-84590ba29e69' ,Food Premisis
22,Helena’s Cakes,41 Queen Street NO  Tilbury ON N0P 2L0,Food Store/Food Sales (Convenience/Variety),27-Mar-2024,location.href = '/Facility/Details/47022880-6ec4-4a46-8e10-72609935fdd5' ,Food Premisis
23,Hidden Garden Cafe,519 King Street West  Chatham ON N7M 1G8,Restaurant,02-Nov-2023,location.href = '/Facility/Details/7079fe53-b908-42fd-b41d-1cae87007cc7' ,Food Premisis
24,Hidden Hills Golf and Country Club,25393 St Clair Road  Dover Centre ON N0P 1L0,Restaurant,13-Dec-2023,location.href = '/Facility/Details/de78e3e1-1b88-4ea4-af02-06aeca6746a9' ,Food Premisis
0,Highgate Baseball Canteen,271 Queen Street  Highgate ON N0P 1T0,Food Take Out,22-Aug-2023,location.href = '/Facility/Details/7f53b7d1-35c8-4187-864e-b4384c522855' ,Food Premisis
1,Highgate Community Hall,291 King Street S  Highgate ON N0P 1T0,Banquet Facility/Public Hall,18-Apr-2024,location.href = '/Facility/Details/c6f81c09-3722-45ed-90de-fb3bf6c449b6' ,Food Premisis
2,Highgate Tender Meats,14680 Hastings Line  Highgate ON N0P 1T0,Butcher Shop/Retail Licensed Meat Plant,30-Jun-2023,location.href = '/Facility/Details/eb09ebe2-c262-4253-b36f-bf8c0c8106cc' ,Food Premisis
3,Holiday Harbour,20951 Pier Road  Wheatley ON N0P 2P0,Food Store/Food Sales (Convenience/Variety),08-Jul-2022,location.href = '/Facility/Details/3a3f6b35-710e-4a25-91f8-b2fdcfceccad' ,Food Premisis
4,Holiday Inn Express & Suites,575 Richmond Street  Chatham ON N7M 5K8,Restaurant,26-Mar-2024,location.href = '/Facility/Details/685ecdad-20aa-43b8-9206-0d84ad09c208' ,Food Premisis
5,Holy Family Catholic School,649 Murray St  Wallaceburg ON N8A 1W1,School Nourishment Program,17-Apr-2019,location.href = '/Facility/Details/54a1dee6-43d8-4ca4-bb05-9c2943559dc5' ,Food Premisis
6,Holy Trinity Anglican Church,81 Selkirk Street  Chatham ON N7L 1Y8,Banquet Facility/Public Hall,14-Nov-2023,location.href = '/Facility/Details/6a5613a7-6f25-4113-946a-b6bf0125dacb' ,Food Premisis
7,Homebaked Kitchen Company,518 St. Clair Street  Chatham ON N7L 3K8,Bakery,14-Nov-2023,location.href = '/Facility/Details/1bfb9bc2-e53a-424c-992c-ca341ab9cbc8' ,Food Premisis
8,Homegrown Health & Wellness,244 Queen St  Chatham Ontario N7M 2H3,Food Store/Food Sales (Convenience/Variety),06-Nov-2023,location.href = '/Facility/Details/e5ffa487-4491-46cd-95d0-1a01499ea317' ,Food Premisis
9,House of Blooms Cupcakes,51 McGregor  Blenheim ON N0P 1A0,Bakery,04-Mar-2024,location.href = '/Facility/Details/ad949c42-2067-49cf-aedf-0f8675450bb2' ,Food Premisis
10,"Hub Cafe, The",64 Ursuline Ave  Chatham ON N7L 0A8,Restaurant,15-Feb-2023,location.href = '/Facility/Details/dee2e6bd-4c82-4901-aa9f-ec73a7bc023f' ,Food Premisis
11,Hudson Manor Retirement Home - Food,36 Lawson St  Tilbury ON N0P 2L0,LTC Retirement Home - Food,16-Apr-2024,location.href = '/Facility/Details/ef713649-7ed8-4fd5-a2a6-750cf9a06532' ,Food Premisis
12,Hungry Man's Restaurant - Acropolis,29 Keil Drive S  Chatham ON N7M 3G7,Restaurant,02-Nov-2023,location.href = '/Facility/Details/f6748fb7-e8fe-4166-a041-250af28a97eb' ,Food Premisis
13,Ice Cream Dreams,no site address,Mobile Food Premises,02-Jun-2023,location.href = '/Facility/Details/32721d9d-1f77-4515-85ae-69b85b7088fd' ,Food Premisis
14,Imperial Club of Chatham Inc.,22 Payne Street  Chatham ON N7M 5K4,Banquet Facility/Public Hall,15-Nov-2023,location.href = '/Facility/Details/8ed5465b-3e22-4175-995b-6796a61326a6' ,Food Premisis
15,Indian Creek Road Public School,511 Indian Creek Rd W  Chatham ON N7M 5J5,School Nourishment Program,16-Jul-2019,location.href = '/Facility/Details/a67ef501-8578-459c-86f9-a98ea55f865b' ,Food Premisis
16,Indian Grocery Store,3-171 Keil Drive  Chatham Ontario N7M 3H3,Restaurant,08-Dec-2023,location.href = '/Facility/Details/e90321e9-6883-4d0e-9cab-4185e180a5d1' ,Food Premisis
17,iScreams,15 B Talbot Road West  Wheatley ON N0P 2P0,Food Take Out,,location.href = '/Facility/Details/2948043f-dea5-4967-aad9-63c008bf8e7c' ,Food Premisis
18,Italian Stallion Wood Fired Pizza,923 Charring Cross Rd  Chatham ON N7M 5H6,Mobile Food Premises,09-Jun-2023,location.href = '/Facility/Details/91fe3881-16d7-4409-81bd-e6207c45970f' ,Food Premisis
19,J & E Meats,29892 Oakdale Rd  Croton Ontario N0P 1K0,Butcher Shop/Retail Licensed Meat Plant,04-Apr-2024,location.href = '/Facility/Details/571c093a-59bd-4c30-8fb1-7e4856aa267c' ,Food Premisis
20,J & N Cuisine,210 John Street East  Blenheim ON N0P 1A0,Food Take Out,16-Nov-2023,location.href = '/Facility/Details/e2303c81-796d-4cde-a546-4a977accd5c0' ,Food Premisis
21,Jack's Family Restaurant,27 Chatham Street N  Blenheim ON N0P 1A0,Restaurant,06-Feb-2024,location.href = '/Facility/Details/d4263859-3d69-4f9e-8b90-212dc6eb943b' ,Food Premisis
22,Jade Garden Restaurant & Tavern,409 McNaughton Ave W  Chatham ON N7L 4K4,Restaurant,19-Dec-2023,location.href = '/Facility/Details/9105972b-5dce-4dce-a3cc-3a03af1ea3c2' ,Food Premisis
23,James Street Eatery,504 James St  Wallaceburg ON N8A 2N9,Restaurant,15-Nov-2023,location.href = '/Facility/Details/cfcbfe6c-bf38-430d-8f58-ee3e1c632313' ,Food Premisis
24,Jen's Keto Kitchen,10 Massey Dr  Tilbury ON N0P 2L0,Bakery,14-Dec-2023,location.href = '/Facility/Details/0059fb7d-7d40-44f7-8496-3782ace922b4' ,Food Premisis
0,Jersey Dairy,700 Lowe Avenue  Wallaceburg ON N8A 4Z9,Food Depot/wholesale,27-Nov-2023,location.href = '/Facility/Details/067093f7-9e61-4020-8ddd-05a9496155df' ,Food Premisis
1,Jiffs,21316 Allan Rd  Wheatley N0P 2P0,Bakery,19-Dec-2023,location.href = '/Facility/Details/8d4a426b-4650-424c-9a42-264fb38276a8' ,Food Premisis
2,Jimmy G's,445 Murray Street  Wallaceburg ON N8A 1V7,Food Store/Food Sales (Convenience/Variety),14-Jul-2023,location.href = '/Facility/Details/4dc08fc7-6e4a-4d8a-856d-f72107bf639a' ,Food Premisis
3,John D. Bradley Convention Centre,565 Richmond Street  Chatham ON N7M 1R2,Banquet Facility/Public Hall,24-Nov-2023,location.href = '/Facility/Details/fc036040-1468-40e1-9a85-98fff0267b97' ,Food Premisis
4,John McGregor Secondary School,300 Cecile Avenue  Chatham ON N7M 2C6,Cafeteria,28-Mar-2024,location.href = '/Facility/Details/c8948e3d-50ca-459a-82f6-a47996fa458e' ,Food Premisis
5,John McGregor Secondary School,300 Cecile Ave  Chatham ON N7M 2C6,School Nourishment Program,04-Jun-2019,location.href = '/Facility/Details/efa31420-7b8c-43ad-a1a4-71ab24b8d169' ,Food Premisis
6,John N. Given Learning Centre,92 Churchill Street  Chatham ON N7L 3T5,School Nourishment Program,28-May-2019,location.href = '/Facility/Details/ce50a78c-709a-490c-8e66-b90250e562a1' ,Food Premisis
7,Johnny Quests Adventures in Food & Drink,62 London Rd  Thamesville ON N0P 2K0,Restaurant,19-Jul-2023,location.href = '/Facility/Details/6942b45d-cb10-4cd8-996b-ded39abf4c49' ,Food Premisis
8,Johnson Cattle Company,13533 O'Neil Line Ridgetown  ON N0P 2C0,Food Depot/wholesale,28-Mar-2024,location.href = '/Facility/Details/cd0a6bae-fc72-426d-94cb-5727d6f768aa' ,Food Premisis
9,Jollof King,51 Daleview Cres  Chatham ON N7M 5V9,Food Take Out,01-Nov-2023,location.href = '/Facility/Details/52921e33-4188-419f-b2c9-8b91e7c7d875' ,Food Premisis
10,Joyce Farm Market,15234 Longwoods Rd  Bothwell ON N0P 1C0,Food Store/Food Sales (Convenience/Variety),24-Aug-2023,location.href = '/Facility/Details/7993de7c-5902-45f1-9625-2b2b75ad62bb' ,Food Premisis
11,J's Fabric & General Store,34 Talbot St E  Wheatley ON N0P 2P0,Food Store/Food Sales (Convenience/Variety),21-Nov-2023,location.href = '/Facility/Details/1d03af43-175a-47b4-8b64-c6d3a7a31d4c' ,Food Premisis
12,Just Pop On In,452 St. George St  Dresden ON N0P 1M0,Food Take Out,14-Nov-2023,location.href = '/Facility/Details/dc3e4102-c621-4f40-acfc-b29cd7cd149f' ,Food Premisis
13,K2 Mart,22216 Bloomfield Rd  Chatham ON N7M 5J6,Food Store/Food Sales (Convenience/Variety),30-Jun-2023,location.href = '/Facility/Details/cd203baf-415f-456b-940f-313009e61125' ,Food Premisis
14,K2 Mart,3613 Queens Line Tilbury  ON N0P 2L0,Food Store/Food Sales (Convenience/Variety),06-Dec-2023,location.href = '/Facility/Details/e03ad324-7d0e-4fa4-a95c-f672648f199a' ,Food Premisis
15,Kathy's Takeout,14 Periscilla St  Thamesville ON N0P 2K0,Food Take Out,04-Apr-2024,location.href = '/Facility/Details/3949f0f6-e287-4d1f-82c4-bb7b3fec8c0a' ,Food Premisis
16,Kelsey's,804 Richmond Street  Chatham ON N7M 5J5,Restaurant,09-Feb-2024,location.href = '/Facility/Details/7ea3640d-c804-46a8-8054-55ecfeb3382d' ,Food Premisis
17,Ken Houston Memorial Agricultural Centre Arena,1212 North St  Dresden ON N0P 1M0,Banquet Facility/Public Hall,20-Feb-2024,location.href = '/Facility/Details/298651f7-fbbf-437b-ba39-8f8731ce11e6' ,Food Premisis
18,Kenesserie Camp - Kitchen,18669 Kenesserie Road  Ridgetown ON N0P 2C0,Recreational Camps-Food,13-Jul-2023,location.href = '/Facility/Details/fb8cbc52-8f7e-4278-94e3-beeaf0ea6723' ,Food Premisis
19,Ken's Variety,10 Vanier Dr  Chatham ON N7L 4P6,Food Store/Food Sales (Convenience/Variety),04-Jan-2023,location.href = '/Facility/Details/a5821028-c353-4dec-ae80-c30e2a7f69d3' ,Food Premisis
20,Kent Belgian Dutch Canadian Club,34 Byng Avenue  Chatham ON N7M 3E2,Restaurant,14-Feb-2024,location.href = '/Facility/Details/aaca174e-13d7-41d8-915c-fe955c2d2aba' ,Food Premisis
21,Kent Bridge Country Market,11652 Longwoods Rd  Kent Bridge ON N0P 1V0,Food Store/Food Sales (Convenience/Variety),07-Dec-2023,location.href = '/Facility/Details/7a5d2f66-913d-4019-9941-5b3c79bf1565' ,Food Premisis
22,Kent Cloverleaf Conservation Club,9092 English Line  Chatham ON N7M 5L1,Banquet Facility/Public Hall,17-Apr-2023,location.href = '/Facility/Details/6420e904-6d71-483f-91b2-f212491e0e9f' ,Food Premisis
23,KFC,810 St Clair St  Chatham ON N7L 0E8,Restaurant,24-Jan-2024,location.href = '/Facility/Details/03344d97-31a4-4a95-879a-69327a36b048' ,Food Premisis
24,KFC,720 Grand Avenue West  Chatham ON N7L 1C6,Restaurant,20-Feb-2024,location.href = '/Facility/Details/1c42f24b-4b7c-4d6f-b9c3-2cdacc7f00ff' ,Food Premisis
0,KFC,5 Mill Street W  Tilbury ON N0P 2L0,Restaurant,20-Dec-2023,location.href = '/Facility/Details/eb32274c-a0ef-40e9-b562-4c0b613295ba' ,Food Premisis
1,Kids Connection Daycare,470 St Clair Street  Chatham ON N7L 3K8,Child Care - Food,22-Feb-2024,location.href = '/Facility/Details/005039d4-179b-44d9-8fc8-56e03f3e0053' ,Food Premisis
2,Kids Connection Daycare - Raleigh Street - food,25 Raleigh Street  Chatham ON N7M 2M6,Child Care - Food,10-Apr-2024,location.href = '/Facility/Details/a1a3b03b-407b-4f28-8e59-ecea756e7264' ,Food Premisis
3,Kids' Stuff Family Learning Centre - Gregory Drive Public School - Food,180 Gregory Dr W  Chatham ON N7L 2L4,Child Care - Food,05-Mar-2024,location.href = '/Facility/Details/dc423c26-460a-40ce-96de-376e791d7c8e' ,Food Premisis
4,Kids' Stuff Family Learning Centre - Winston Churchill - Food,30 Crystal Dr  Chatham ON N7M 3C7,Child Care - Food,18-Apr-2024,location.href = '/Facility/Details/e8caa864-05fe-4ada-b540-1d9386207ff7' ,Food Premisis
5,Kids' Stuff- McNaughton Ave E - Food,520 McNaughton Ave E  Chatham ON N7L 2G9,Child Care - Food,12-Mar-2024,location.href = '/Facility/Details/186bc214-3857-46c8-bc6f-f2d731cb5322' ,Food Premisis
6,King 401 Naan & Curry Stop,960 Richmond Street  Chatham ON N7M 5J5,Mobile Food Premises,,location.href = '/Facility/Details/173df814-9e08-4323-b26f-7b3b7fe17e91' ,Food Premisis
7,King George VI Public School,227 Delaware Ave  Chatham ON N7L 2W5,School Nourishment Program,23-May-2019,location.href = '/Facility/Details/2cab39b9-1dd6-4058-a9cd-f6ac1ff9de1f' ,Food Premisis
8,King's Variety,50 King Street E  Chatham ON N7M 3M7,Food Store/Food Sales (Convenience/Variety),22-Aug-2023,location.href = '/Facility/Details/4596910f-18fb-4524-a87e-2e69dc7cad4d' ,Food Premisis
9,Kinsmen Community Center,1416 Dufferin Avenue  Wallaceburg ON N8A 2W5,Refreshment Stand,25-Aug-2023,location.href = '/Facility/Details/0885b098-63ad-4077-971f-9195188ff3a2' ,Food Premisis
10,Knights of Columbus Council 2102,800 Murray Street  Wallaceburg ON N8A 1W3,Banquet Facility/Public Hall,02-Aug-2023,location.href = '/Facility/Details/cee4592a-4e33-4952-81af-b6c3c22c92d1' ,Food Premisis
11,Knights of Columbus Council 7251,no site address,Mobile Food Premises,10-Aug-2019,location.href = '/Facility/Details/1767829b-937a-4967-95f2-8e654f7b65b6' ,Food Premisis
12,Knights Of Columbus Hall,20 Dupuis Street  Tilbury ON N0P 2L0,Restaurant,18-Dec-2023,location.href = '/Facility/Details/a6a9bc5c-a4e5-4d99-92d3-6240a8d1b733' ,Food Premisis
13,Knights of Pythias,225 Nelson St  Wallaceburg Ontario N8A 4G5,Banquet Facility/Public Hall,18-Dec-2023,location.href = '/Facility/Details/ad7e9f34-e869-40ca-832d-5388a14a5ef5' ,Food Premisis
14,Knox Presbyterian Church,"251 Duncan Street  Wallaceburg, N8A ON",Hunger Relief Agency/Soup Kitchen/Meal Centre/Food Kitchen,24-Nov-2023,location.href = '/Facility/Details/31e5a114-53ae-4c8b-b1d3-0e011fe811a8' ,Food Premisis
15,Koka's Pizza,114 West Street  Chatham ON N7M2R7,Food Take Out,15-Apr-2024,location.href = '/Facility/Details/768cddfc-5423-4bca-8ba6-1492e5a11d36' ,Food Premisis
16,Konstantino Pizzeria,3-350 Lacroix St  Chatham ON N7M 2W3,Food Take Out,21-Dec-2023,location.href = '/Facility/Details/fa04bcca-d11f-4c26-b358-33fa750745af' ,Food Premisis
17,Korean Fusion,443 St. Clair St  Chatham ON N7L 3K6,Restaurant,15-Nov-2023,location.href = '/Facility/Details/af489fc2-d1af-4e07-9573-3c6025875a91' ,Food Premisis
18,Kung Fu Chinese Food,403 Queen Street  Chatham ON N7M 2J1,Food Take Out,15-Nov-2023,location.href = '/Facility/Details/9d85a909-da35-480e-b3a0-ebfefbfff3f2' ,Food Premisis
19,Kurry Houzz & Grill Inc.,5A-427 St. Clair St.  Chatham ON N7L 3K4,Restaurant,10-Nov-2023,location.href = '/Facility/Details/77ad4a83-fd65-4464-9b90-55a7bcef9882' ,Food Premisis
20,L A Roadhouse Restaurant,186 Peter Street S  Bothwell ON N0P 1C0,Restaurant,16-Nov-2023,location.href = '/Facility/Details/b9a945e9-960a-430d-9d64-4ec8905d7c4b' ,Food Premisis
21,Lacroix Variety,1-350 Lacroix Street  Chatham ON N7M 2W3,Food Store/Food Sales (Convenience/Variety),05-Feb-2024,location.href = '/Facility/Details/f893ee41-1c52-437a-b3dc-2311fd895e86' ,Food Premisis
22,Lambton-Kent Composite School,231 St. George Street N  Dresden ON N0P 1M0,School Nourishment Program,15-Feb-2019,location.href = '/Facility/Details/60d27f10-3928-46de-851a-4820df0a8ae7' ,Food Premisis
23,Lavender and Honey,25 King St. East  Chatham Ontario N7M 3M6,Cafeteria,01-Feb-2024,location.href = '/Facility/Details/14d4f9cb-eeb3-4ec1-a833-c82152dc80a9' ,Food Premisis
24,Lenovers Quality Meats & Seafoods Ltd,525 Park Ave  Chatham ON N7M 5K4,Butcher Shop/Retail Licensed Meat Plant,26-Jul-2023,location.href = '/Facility/Details/201352cb-8e8a-4fd7-9a18-4cac0db7c1d8' ,Food Premisis
0,Level Up! Arcade & Bowling,130 Marlborough Street North  Blenheim ON N0P 1A0,Restaurant,02-Feb-2024,location.href = '/Facility/Details/958429cb-f5d6-43e1-80fb-44455028281c' ,Food Premisis
1,Library Café,120 Queen St  Chatham ON N7M 2G6,Restaurant,10-Jul-2023,location.href = '/Facility/Details/19fff2d3-c884-420a-8b74-7b094ee289ab' ,Food Premisis
2,Lil' Dutchies Pizza,86 London Rd  Thamesville ON N0P 2K0,Restaurant,21-Nov-2023,location.href = '/Facility/Details/a5fd9011-e373-4052-a28e-a532291e2059' ,Food Premisis
3,Lil Hil's Coffee Shop,13 Talbot Road W  Wheatley ON N0P 2P0,Restaurant,05-Dec-2023,location.href = '/Facility/Details/1722385e-d5ca-4587-8834-6f2f50737bdb' ,Food Premisis
4,Lillian Rowe (Home Bakery),41 Bridle Path  Wallaceburg Ontario N8A 4Y2,Bakery,18-Oct-2023,location.href = '/Facility/Details/7bcdab50-e5b8-4ed6-9672-304a707ced12' ,Food Premisis
5,LINCK YMCA Childcare - food,495 Grand Ave West  Chatham ON N7L 1C5,Child Care - Food,09-Apr-2024,location.href = '/Facility/Details/1afd404c-a3d7-4d93-ac28-0baf0a31458e' ,Food Premisis
6,Lisa Roberts Cakes,30 Courtyard Walk  Chatham N7L 5S3,Bakery,07-Nov-2023,location.href = '/Facility/Details/5a12fc58-960c-4d5c-8e08-368cf20143da' ,Food Premisis
